palmon_id;move_id;learned_on_level
1;22;3
1;33;1
1;45;1
1;73;7
1;74;6
1;75;12
1;76;36
1;77;13
1;79;13
1;230;21
1;235;27
1;36;15
1;38;27
1;388;30
1;402;18
2;22;1
2;33;1
2;45;1
2;73;1
2;74;1
2;75;12
2;76;44
2;77;13
2;79;13
2;230;23
2;235;35
2;36;15
2;38;31
2;388;36
2;402;20
3;22;1
3;33;1
3;45;1
3;73;1
3;74;1
3;75;12
3;76;53
3;77;13
3;79;13
3;230;23
3;235;37
3;36;15
3;38;31
3;80;0
3;388;39
3;572;0
3;133;1
3;438;1
3;402;20
4;10;1
4;43;15
4;45;1
4;52;4
4;53;24
4;83;27
4;99;19
4;163;20
4;82;16
4;108;8
4;184;19
4;232;13
4;424;17
4;481;28
4;517;36
4;154;18
4;225;12
4;394;40
5;10;1
5;43;15
5;45;1
5;52;1
5;53;30
5;83;33
5;99;20
5;163;24
5;82;17
5;108;1
5;184;21
5;232;13
5;424;19
5;481;32
5;517;48
5;154;20
5;225;12
5;394;54
6;10;1
6;43;1
6;45;1
6;52;1
6;53;30
6;83;33
6;99;20
6;163;24
6;17;0
6;82;17
6;108;1
6;184;21
6;232;1
6;257;1
6;337;1
6;394;1
6;403;0
6;421;1
6;424;19
6;481;32
6;517;54
6;68;1
6;154;20
6;242;1
6;225;12
7;33;1
7;39;1
7;44;12
7;55;3
7;56;33
7;110;6
7;130;31
7;145;7
7;182;18
7;229;9
7;240;21
7;352;15
7;401;24
7;334;30
7;29;36
7;61;27
7;504;27
8;33;1
8;39;1
8;44;12
8;55;1
8;56;44
8;110;1
8;130;36
8;145;1
8;182;20
8;229;9
8;240;25
8;352;15
8;401;30
8;334;40
8;29;46
8;61;33
8;504;35
9;33;1
9;39;1
9;44;12
9;55;1
9;56;49
9;110;1
9;130;39
9;145;1
9;182;20
9;229;9
9;240;25
9;352;15
9;401;30
9;430;0
9;334;42
9;29;54
9;61;33
9;252;1
9;453;1
9;504;35
10;33;1
10;81;1
10;450;9
11;106;0
12;18;20
12;48;4
12;60;16
12;77;12
12;78;12
12;79;12
12;93;1
12;16;0
12;219;25
12;318;19
12;366;30
12;405;31
12;445;36
12;476;34
12;483;22
12;403;24
12;33;1
12;81;1
